Author_id,Group,Gender,Group_member,If_winner,Event,Persistence
A_1,g_1,women,prizewinner,1,0,7
A_2,g_1,women,contender,0,0,9
A_3,g_1,women,contender,0,0,8
A_4,g_1,women,contender,0,0,8
A_5,g_1,women,contender,0,0,4
A_6,g_1,women,contender,0,0,10
A_7,g_2,women,prizewinner,1,0,23
A_8,g_2,women,contender,0,0,22
A_9,g_2,women,contender,0,0,31
A_10,g_2,women,contender,0,0,21
A_11,g_2,women,contender,0,0,23
A_12,g_2,women,contender,0,0,22
A_13,g_3,women,prizewinner,1,1,16
A_14,g_3,women,contender,0,1,1
A_15,g_4,women,prizewinner,1,0,18
A_16,g_4,women,contender,0,0,21
A_17,g_4,women,contender,0,1,15
A_18,g_4,women,contender,0,0,20
A_19,g_4,women,contender,0,0,19
A_20,g_4,women,contender,0,0,16
A_21,g_5,women,prizewinner,1,0,5
A_22,g_5,women,contender,0,0,4
A_23,g_5,women,contender,0,0,11
A_24,g_5,women,contender,0,0,3
A_25,g_5,women,contender,0,0,8
A_26,g_5,women,contender,0,0,11
A_27,g_6,women,prizewinner,1,0,6
A_28,g_6,women,contender,0,0,8
A_29,g_6,women,contender,0,0,3
A_30,g_6,women,contender,0,0,4
A_31,g_6,women,contender,0,0,3
A_32,g_6,women,contender,0,0,9
A_33,g_7,women,prizewinner,1,0,13
A_34,g_7,women,contender,0,0,12
A_35,g_7,women,contender,0,0,18
A_36,g_7,women,contender,0,0,13
A_37,g_7,women,contender,0,0,13
A_38,g_7,women,contender,0,0,12
A_39,g_8,women,prizewinner,1,0,6
A_40,g_8,women,contender,0,0,5
A_41,g_8,women,contender,0,0,12
A_42,g_8,women,contender,0,0,3
A_43,g_8,women,contender,0,0,7
A_44,g_8,women,contender,0,0,7
A_45,g_9,women,prizewinner,1,0,12
A_46,g_9,women,contender,0,0,14
A_47,g_9,women,contender,0,0,17
A_48,g_9,women,contender,0,0,12
A_49,g_9,women,contender,0,0,12
A_50,g_9,women,contender,0,0,10
A_51,g_10,women,prizewinner,1,0,20
A_52,g_10,women,contender,0,0,18
A_53,g_10,women,contender,0,0,23
A_54,g_10,women,contender,0,0,19
A_55,g_10,women,contender,0,0,23
A_56,g_10,women,contender,0,0,19
A_57,g_11,women,prizewinner,1,0,16
A_58,g_11,women,contender,0,0,19
A_59,g_11,women,contender,0,0,18
A_60,g_11,women,contender,0,0,15
A_61,g_11,women,contender,0,0,23
A_62,g_11,women,contender,0,0,15
A_63,g_12,women,prizewinner,1,0,31
A_64,g_12,women,contender,0,0,32
A_65,g_12,women,contender,0,0,30
A_66,g_12,women,contender,0,0,30
A_67,g_12,women,contender,0,0,33
A_68,g_12,women,contender,0,0,32
A_69,g_13,women,prizewinner,1,0,15
A_70,g_13,women,contender,0,0,18
A_71,g_13,women,contender,0,0,15
A_72,g_13,women,contender,0,0,14
A_73,g_13,women,contender,0,0,16
A_74,g_13,women,contender,0,0,22
A_75,g_14,women,prizewinner,1,1,13
A_76,g_14,women,contender,0,0,21
A_77,g_14,women,contender,0,0,20
A_78,g_14,women,contender,0,1,11
A_79,g_14,women,contender,0,0,18
A_80,g_14,women,contender,0,0,14
A_81,g_15,women,prizewinner,1,1,9
A_82,g_15,women,contender,0,0,10
A_83,g_15,women,contender,0,1,5
A_84,g_15,women,contender,0,0,15
A_85,g_15,women,contender,0,1,7
A_86,g_15,women,contender,0,1,9
A_87,g_16,women,prizewinner,1,1,15
A_88,g_16,women,contender,0,1,14
A_89,g_17,women,prizewinner,1,0,29
A_90,g_17,women,contender,0,1,28
A_91,g_17,women,contender,0,1,31
A_92,g_17,women,contender,0,1,26
A_93,g_18,women,prizewinner,1,1,19
A_94,g_18,women,contender,0,1,27
